                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0725,                 1.1912,                 1.3698,                0.67678,                0.67522,                0.74009,                0.53303,                 1.1801,                 1.1167,                 1.4194,               0.006733,               0.006733,               0.006733
                     35,                 1.0753,                 1.1966,                  1.368,                0.74514,                0.69812,                  0.793,                 0.5594,                 1.1642,                0.94643,                 1.3989,               0.006634,               0.006634,               0.006634
                     36,                 1.0643,                 1.1666,                 1.3587,                0.81088,                0.66233,                0.79559,                0.55657,                 1.1874,                0.96382,                 1.4183,               0.006535,               0.006535,               0.006535
                     37,                 1.0621,                 1.1816,                 1.3677,                0.68994,                0.71508,                0.79445,                0.55436,                 1.2011,                 1.0236,                 1.4598,               0.006436,               0.006436,               0.006436
                     38,                  1.054,                 1.1497,                 1.3573,                0.71254,                0.70064,                0.78879,                0.55133,                 1.1906,                0.96352,                 1.4152,               0.006337,               0.006337,               0.006337
                     39,                  1.056,                 1.1453,                 1.3576,                0.66763,                0.73721,                0.78276,                0.54175,                 1.1645,                 1.0145,                 1.3885,               0.006238,               0.006238,               0.006238
                     40,                 1.0545,                  1.141,                 1.3511,                0.69266,                0.67374,                0.75661,                 0.5264,                 1.1919,                 1.0906,                 1.4293,               0.006139,               0.006139,               0.006139
                     41,                 1.0526,                 1.1368,                 1.3571,                0.76915,                0.72603,                0.81904,                0.57546,                 1.1709,                0.92012,                  1.386,                0.00604,                0.00604,                0.00604
                     42,                 1.0311,                 1.1246,                 1.3491,                0.77881,                0.75757,                0.82001,                0.58563,                 1.1409,                 0.8986,                 1.3799,               0.005941,               0.005941,               0.005941
                     43,                 1.0463,                 1.1183,                 1.3541,                0.79676,                0.76536,                0.82921,                0.59883,                 1.1612,                0.91049,                 1.3958,               0.005842,               0.005842,               0.005842
                     44,                 1.0391,                 1.1026,                 1.3464,                0.88572,                0.68463,                0.82079,                 0.6014,                 1.1346,                0.90884,                 1.3638,               0.005743,               0.005743,               0.005743
                     45,                 1.0293,                 1.0946,                 1.3411,                0.73737,                0.75814,                0.79449,                0.56133,                 1.1684,                0.87649,                 1.3909,               0.005644,               0.005644,               0.005644
                     46,                 1.0267,                 1.0946,                 1.3338,                0.76262,                0.76904,                0.80935,                0.59658,                 1.1892,                0.93996,                 1.4095,               0.005545,               0.005545,               0.005545
                     47,                 1.0385,                  1.101,                 1.3412,                0.75792,                0.79246,                0.82645,                0.59087,                 1.1516,                 0.8642,                 1.3996,               0.005446,               0.005446,               0.005446
                     48,                 1.0259,                 1.0752,                 1.3358,                 0.8311,                0.70448,                0.82831,                0.60415,                 1.1614,                0.88281,                 1.4049,               0.005347,               0.005347,               0.005347
                     49,                 1.0262,                 1.0748,                 1.3374,                0.77344,                0.76991,                0.83804,                0.59415,                 1.1361,                0.85214,                 1.3771,               0.005248,               0.005248,               0.005248
                     50,                 1.0305,                 1.0663,                 1.3362,                0.71272,                0.81423,                0.83906,                0.59924,                 1.1459,                 0.8603,                 1.3788,               0.005149,               0.005149,               0.005149
                     51,                 1.0247,                  1.062,                 1.3277,                0.80556,                0.79498,                0.83553,                0.59737,                 1.1227,                0.84986,                  1.358,                0.00505,                0.00505,                0.00505
                     52,                 1.0178,                 1.0556,                 1.3258,                0.80677,                0.76824,                0.85574,                0.62565,                 1.1221,                0.85115,                 1.3546,               0.004951,               0.004951,               0.004951
                     53,                 1.0153,                  1.041,                 1.3275,                0.80534,                0.74741,                 0.8361,                0.60267,                  1.143,                0.84324,                 1.3631,               0.004852,               0.004852,               0.004852
                     54,                 1.0063,                 1.0372,                 1.3187,                 0.7768,                0.77355,                0.85222,                  0.613,                  1.144,                0.81676,                 1.3685,               0.004753,               0.004753,               0.004753
                     55,                 1.0182,                 1.0365,                 1.3273,                0.77038,                0.79606,                0.84202,                0.60245,                 1.1374,                0.87427,                 1.3704,               0.004654,               0.004654,               0.004654
                     56,                 1.0031,                 1.0113,                 1.3081,                0.85315,                 0.7554,                0.84619,                0.59869,                 1.1433,                0.81625,                 1.3699,               0.004555,               0.004555,               0.004555
                     57,                0.99595,                 1.0018,                 1.3092,                0.83732,                0.75195,                0.84162,                0.61008,                 1.1215,                0.81525,                 1.3543,               0.004456,               0.004456,               0.004456
                     58,                0.99782,                0.99776,                 1.3094,                0.79308,                0.79432,                0.85841,                0.62407,                 1.1052,                0.80897,                 1.3426,               0.004357,               0.004357,               0.004357
                     59,                0.99247,                0.99428,                 1.3093,                0.81669,                0.75436,                 0.8518,                0.63486,                  1.103,                0.81847,                  1.338,               0.004258,               0.004258,               0.004258
                     60,                0.98704,                0.99184,                 1.3116,                0.81787,                0.77494,                0.85873,                0.63252,                 1.1056,                0.80834,                 1.3402,               0.004159,               0.004159,               0.004159
                     61,                0.98429,                0.97368,                 1.2988,                0.82903,                 0.7785,                0.85225,                0.61925,                 1.1195,                0.78486,                 1.3453,                0.00406,                0.00406,                0.00406
                     62,                0.98677,                0.97419,                 1.3109,                0.84358,                0.79763,                0.87458,                0.64299,                 1.1213,                0.76669,                 1.3549,               0.003961,               0.003961,               0.003961
                     63,                0.98589,                0.98116,                 1.3051,                0.83057,                0.79096,                0.86075,                0.63665,                 1.1142,                0.79811,                 1.3506,               0.003862,               0.003862,               0.003862
                     64,                0.97236,                0.95872,                  1.294,                0.76315,                0.82026,                0.86481,                0.64382,                 1.0997,                0.80022,                 1.3425,               0.003763,               0.003763,               0.003763
                     65,                0.96816,                0.95452,                 1.2916,                0.75816,                 0.8192,                0.85043,                0.63153,                 1.1095,                0.81576,                 1.3494,               0.003664,               0.003664,               0.003664
                     66,                0.97167,                0.94154,                 1.2902,                0.88326,                0.75903,                0.85569,                0.63309,                 1.1122,                0.79187,                 1.3493,               0.003565,               0.003565,               0.003565
                     67,                0.96241,                0.94184,                 1.2922,                0.80403,                0.81933,                0.86236,                0.63395,                  1.113,                0.77479,                  1.352,               0.003466,               0.003466,               0.003466
                     68,                0.95841,                0.93051,                  1.285,                0.85593,                0.77676,                0.85639,                0.63795,                 1.0952,                0.77229,                 1.3398,               0.003367,               0.003367,               0.003367
                     69,                0.94989,                0.91517,                 1.2813,                0.86474,                0.79623,                 0.8729,                0.63044,                 1.1012,                0.74577,                 1.3498,               0.003268,               0.003268,               0.003268
                     70,                0.95852,                0.91714,                 1.2784,                0.81593,                0.79158,                0.87363,                0.63727,                 1.1232,                0.76191,                 1.3595,               0.003169,               0.003169,               0.003169
                     71,                 0.9418,                0.89767,                 1.2713,                0.86729,                0.77601,                0.86208,                0.62985,                 1.1156,                0.79547,                 1.3437,                0.00307,                0.00307,                0.00307
                     72,                0.94984,                0.90173,                 1.2763,                0.81815,                0.77139,                0.86189,                0.63295,                 1.1011,                 0.7818,                 1.3444,               0.002971,               0.002971,               0.002971
                     73,                 0.9389,                0.89816,                 1.2725,                0.81187,                0.77079,                0.86508,                0.63449,                 1.1125,                0.77644,                 1.3496,               0.002872,               0.002872,               0.002872
                     74,                0.93775,                0.88804,                 1.2669,                0.79798,                 0.8049,                0.86544,                0.63533,                 1.1086,                0.77892,                 1.3438,               0.002773,               0.002773,               0.002773
                     75,                0.93108,                0.87552,                 1.2654,                0.78533,                0.80103,                0.86636,                0.64116,                 1.1005,                0.76693,                 1.3357,               0.002674,               0.002674,               0.002674
                     76,                0.93055,                0.87999,                 1.2632,                0.89213,                0.77661,                0.86795,                0.63973,                  1.107,                0.76734,                 1.3419,               0.002575,               0.002575,               0.002575
                     77,                 0.9281,                0.87351,                 1.2628,                0.89447,                0.76293,                0.86264,                0.63784,                 1.1173,                0.77829,                 1.3515,               0.002476,               0.002476,               0.002476
                     78,                0.91907,                0.85306,                 1.2561,                0.86255,                0.78082,                0.86697,                0.64048,                 1.1183,                0.77637,                 1.3621,               0.002377,               0.002377,               0.002377
                     79,                0.90952,                0.84414,                 1.2544,                 0.8655,                0.78416,                0.86282,                0.63784,                 1.1157,                0.77749,                  1.356,               0.002278,               0.002278,               0.002278
                     80,                0.91789,                0.85178,                 1.2567,                 0.8791,                0.78339,                0.86528,                0.63999,                 1.1145,                0.77004,                 1.3559,               0.002179,               0.002179,               0.002179
                     81,                0.89998,                 0.8286,                 1.2416,                0.89154,                0.76388,                0.87048,                0.64139,                 1.1104,                0.76659,                 1.3545,                0.00208,                0.00208,                0.00208
