NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
483,아세아,140700,하락1000,-0.71%,5000,3045,2165,4.44,277,3.67,8.89
484,락앤락,5990,하락30,-0.50%,500,3007,50200,76.75,13017,-19.83,-2.38
485,TRUE KIS CD금리투자 ETN,50095,0,0.00%,0,3006,6000,0.00,0,N/A,N/A
486,한국쉘석유,230500,상승500,+0.22%,5000,2996,1300,62.34,41,11.21,24.02
487,삼익THK,14250,하락280,-1.93%,500,2992,21000,34.22,17268,17.97,N/A
488,경방,10900,상승130,+1.21%,500,2988,27415,1.12,3927,67.70,0.59
489,BYC,478000,하락6000,-1.24%,5000,2986,625,1.60,12,11.38,7.08
490,일진다이아,20950,하락350,-1.64%,1000,2976,14203,1.67,8580,-44.39,-1.65
491,일진전기,8000,하락100,-1.23%,1000,2966,37080,2.37,676489,12.25,7.25
492,와이투솔루션,1785,상승7,+0.39%,500,2954,165515,1.72,1909631,-127.50,-2.60
493,현대비앤지스틸,19500,하락470,-2.35%,5000,2940,15079,3.29,140692,11.37,5.10
494,도화엔지니어링,8660,상승10,+0.12%,500,2920,33720,1.75,56338,176.73,0.62
495,코오롱글로벌,15390,하락160,-1.03%,5000,2914,18933,2.00,11515,2.70,25.00
496,삼양패키징,18410,상승10,+0.05%,5000,2907,15789,5.28,2039,23.69,N/A
497,KBSTAR Fn수소경제테마,10455,하락45,-0.43%,0,2901,27750,0.01,32001,N/A,N/A
498,KODEX 코스피,26540,하락30,-0.11%,0,2893,10900,0.30,3294,N/A,N/A
499,현대차증권,9110,하락10,-0.11%,5000,2889,31713,2.89,4280,4.05,7.30
500,키다리스튜디오,7810,하락80,-1.01%,500,2887,36971,0.53,28689,-100.13,-1.14
501,KODEX 은행,6355,상승15,+0.24%,0,2882,45350,0.00,129204,N/A,N/A
502,한국콜마홀딩스,15510,하락160,-1.02%,500,2881,18577,14.77,3436,-50.19,-0.98
503,한전산업,8830,상승60,+0.68%,500,2879,32600,1.49,307794,17.70,17.93
504,백광산업,6380,하락260,-3.92%,500,2866,44918,5.53,765638,13.24,10.87
505,제일약품,19470,하락340,-1.72%,500,2863,14705,2.99,8212,-21.88,-8.03
506,한솔제지,11870,상승20,+0.17%,5000,2825,23801,10.19,21944,3.83,10.39
507,태경산업,9620,상승90,+0.94%,500,2812,29229,4.84,3586249,12.21,8.42
508,롯데하이마트,11880,0,0.00%,5000,2805,23608,4.39,3954,-0.53,-33.81
